Antecedente;Consecuente;Support;Confidence;Coverage;Lift
Cantidad=< 13.5;Naturaleza_Juridica=3;0.193;0.566;0.34;1.348
Cantidad=< 13.5, Tipo_Capacidad=Ambulancia Básica;Naturaleza_Juridica=3;0.033;0.688;0.047;1.639
Cantidad=< 13.5, Tipo_Capacidad=Camas UCI Adultos;Naturaleza_Juridica=3;0.042;0.751;0.056;1.79
Cantidad=< 13.5, Tipo_Capacidad=Salas de Cirugía;Naturaleza_Juridica=3;0.011;0.679;0.017;1.617
Cantidad=13.5 - 54.5, Tipo_Capacidad=Salas de Cirugía;Naturaleza_Juridica=3;0.027;0.688;0.04;1.641
Cantidad=< 13.5, Tipo_Capacidad=Consultorios;Naturaleza_Juridica=3;0.024;0.585;0.041;1.395
Cantidad=< 13.5, Tipo_Capacidad=Salas de Parto;Naturaleza_Juridica=3;0.019;0.552;0.034;1.316
Cantidad=< 13.5, Tipo_Capacidad=Salas de Observación;Naturaleza_Juridica=3;0.023;0.601;0.038;1.432
Cantidad=< 13.5, Nombre_Departamento=Córdoba;Naturaleza_Juridica=3;0.011;0.781;0.015;1.861
Cantidad=< 13.5, Nombre_Departamento=Putumayo;Naturaleza_Juridica=3;0.015;0.723;0.02;1.723
Cantidad=< 13.5, Nombre_Departamento=Casanare;Naturaleza_Juridica=3;0.012;0.868;0.014;2.068
Cantidad=13.5 - 54.5;Naturaleza_Juridica=2;0.214;0.644;0.332;1.175
Cantidad=13.5 - 54.5, Tipo_Capacidad=Camas Hospitalarias;Naturaleza_Juridica=2;0.037;0.735;0.05;1.341
Cantidad=13.5 - 54.5, Tipo_Capacidad=Ambulancia Básica;Naturaleza_Juridica=2;0.018;0.511;0.036;0.933
Cantidad=13.5 - 54.5, Tipo_Capacidad=Camas UCI Adultos;Naturaleza_Juridica=2;0.034;0.826;0.041;1.507
Cantidad=13.5 - 54.5, Tipo_Capacidad=Consultorios;Naturaleza_Juridica=2;0.022;0.621;0.035;1.133
Cantidad=13.5 - 54.5, Tipo_Capacidad=Salas de Parto;Naturaleza_Juridica=2;0.014;0.563;0.025;1.028
Cantidad=13.5 - 54.5, Tipo_Capacidad=Salas de Observación;Naturaleza_Juridica=2;0.02;0.952;0.021;1.738
Cantidad=< 13.5, Tipo_Capacidad=Quirófanos;Naturaleza_Juridica=2;0.024;0.504;0.047;0.92
Cantidad=13.5 - 54.5, Tipo_Capacidad=Quirófanos;Naturaleza_Juridica=2;0.013;0.943;0.014;1.721
Cantidad=13.5 - 54.5, Tipo_Capacidad=Unidades de Urgencias;Naturaleza_Juridica=2;0.02;0.654;0.031;1.193
Cantidad=< 13.5, Tipo_Capacidad=Camas Neonatales;Naturaleza_Juridica=2;0.017;0.726;0.023;1.326
Cantidad=13.5 - 54.5, Tipo_Capacidad=Camas Neonatales;Naturaleza_Juridica=2;0.012;0.674;0.018;1.23
Cantidad=13.5 - 54.5, Nombre_Departamento=Córdoba;Naturaleza_Juridica=2;0.014;0.651;0.022;1.189
Cantidad=13.5 - 54.5, Nombre_Departamento=Sucre;Naturaleza_Juridica=2;0.012;0.653;0.019;1.191
Cantidad=13.5 - 54.5, Nombre_Departamento=Cesar;Naturaleza_Juridica=2;0.01;0.722;0.014;1.318
Cantidad=13.5 - 54.5, Nombre_Departamento=Nariño;Naturaleza_Juridica=2;0.011;0.917;0.012;1.673
Cantidad=< 13.5, Nombre_Departamento=Antioquia;Naturaleza_Juridica=2;0.012;0.648;0.018;1.183
Cantidad=< 13.5, Nombre_Departamento=Vaupés;Naturaleza_Juridica=2;0.013;0.644;0.02;1.174
Cantidad=13.5 - 54.5, Nombre_Departamento=Norte de Santander;Naturaleza_Juridica=2;0.012;0.849;0.015;1.55
Cantidad=< 13.5, Nombre_Departamento=Quindío;Naturaleza_Juridica=2;0.011;1;0.011;1.825
Naturaleza_Juridica=1;Cantidad=< 13.5;0.025;0.759;0.032;2.23
