Departamento,Ano,label,prediction
Bogotá D.C,2017,12223488,2121808.410274178
Cundinamarca,2017,2392576,2121808.410274178
Córdoba,2017,2332672,2121808.410274178
Guainía,2017,34816,2121808.410274178
Huila,2017,1638912,2121808.410274178
Tolima,2017,2050048,2121808.410274178
Vichada,2017,58880,2121808.410274178
Amazonas,2018,102912,2210140.717955053
Casanare,2018,490496,2210140.717955053
Cesar,2018,2677248,2210140.717955053
Magdalena,2018,1972224,2210140.717955053
Norte de Santander,2018,1829888,2210140.717955053
San Andrés y Providencia,2018,101376,2210140.717955053
Amazonas,2019,103936,2298473.025635928
Casanare,2019,494592,2298473.025635928
Cauca,2019,1419776,2298473.025635928
La Guajira,2019,1360384,2298473.025635928
Magdalena,2019,2165760,2298473.025635928
Putumayo,2019,396800,2298473.025635928
Santander,2019,3639808,2298473.025635928
Córdoba,2020,3122688,2386805.333316803
Tolima,2020,1957888,2386805.333316803
Vaupés,2020,22016,2386805.333316803
