Departamento,Complejidad_Total
Bogotá D.C,47060480
Antioquia,32273408
Valle del cauca,29279232
Atlántico,24498688
Santander,14935552
Bolívar,12934144
Cesar,10880000
Córdoba,10603008
Cundinamarca,9666048
Magdalena,8491520
Nariño,8083456
Tolima,8067072
Sucre,7706624
Norte de Santander,7669760
Huila,6579200
Caldas,6500864
Meta,6098944
Risaralda,5639680
Boyacá,5510656
Cauca,5494784
La Guajira,4918784
Quindío,3544064
Chocó,2117632
Caquetá,2074624
Casanare,1936896
Putumayo,1461248
Arauca,1060352
San Andrés y Providencia,407040
Amazonas,391168
Guaviare,314368
Vichada,229376
Guainía,91648
Vaupés,64000
