Tipo_Capacidad,Total
Camas Adultos,80740864
Pediatría,20022784
Obstetricia,15084544
Psiquiatría,11696128
UCI Adulto,11220480
Ambulancia Básica,10013184
Farmacodependencia,7181312
Salas Quirófano,6203392
Cuidado Intermedio Adulto,5835776
Salas Partos,5475328
UCI Neonatal,3713024
Cuidado Intermedio Neonatal,3706368
Ambulancia Medicalizada,2625024
UCI Pediátrica,1739776
Cuidado Agudo Mental,1460224
Cuidado Intermedio Pediátrico,1077248
Cuidado Intermedio Mental,462848
Unidad Quemados Adulto,228352
Unidad Quemados Pediátrica,156160
